timestamp,buy_vol,sell_vol,buy_sell_ratio
1690233300000,172.917,125.523,1.3776
1690233600000,483.703,271.094,1.7843
1690233900000,324.171,223.937,1.4476
1690234200000,115.396,163.17,0.7072
1690234500000,841.502,499.905,1.6833
1690234800000,198.966,314.23,0.6332
1690235100000,41.116,135.7,0.303
1690235400000,300.176,158.323,1.896
1690235700000,74.507,51.221,1.4546
1690236000000,445.995,300.316,1.4851
1690236300000,102.42,140.016,0.7315
1690236600000,160.059,203.265,0.7874
1690236900000,108.816,235.207,0.4626
1690237200000,177.798,320.623,0.5545
1690237500000,249.369,164.244,1.5183
1690237800000,137.54,176.828,0.7778
1690238100000,51.585,89.676,0.5752
1690238400000,48.225,130.083,0.3707
1690238700000,62.638,175.227,0.3575
1690239000000,133.43,173.401,0.7695
1690239300000,122.565,70.961,1.7272
1690239600000,80.349,193.037,0.4162
1690239900000,171.781,73.717,2.3303
1690240200000,173.148,113.515,1.5253
1690240500000,101.853,58.579,1.7387
1690240800000,851.929,302.976,2.8119
1690241100000,74.102,107.484,0.6894
1690241400000,160.986,146.205,1.1011
1690241700000,93.953,64.495,1.4567
1690242000000,81.903,158.255,0.5175
1690242300000,92.765,110.374,0.8405
1690242600000,142.22,88.028,1.6156
1690242900000,78.646,134.145,0.5863
1690243200000,153.961,204.567,0.7526
1690243500000,76.242,325.277,0.2344
1690243800000,268.341,265.893,1.0092
1690244100000,101.115,203.412,0.4971
1690244400000,288.746,143.325,2.0146
1690244700000,125.753,116.527,1.0792
1690245000000,175.831,219.438,0.8013
1690245300000,370.026,819.095,0.4517
1690245600000,407.919,745.724,0.547
1690245900000,129.977,222.81,0.5834
1690246200000,455.703,501.525,0.9086
1690246500000,447.593,883.647,0.5065
1690246800000,163.464,378.62,0.4317
1690247100000,750.757,1246.011,0.6025
1690247400000,427.532,857.191,0.4988
1690247700000,247.215,148.518,1.6645
1690248000000,98.096,214.945,0.4564
1690248300000,326.435,368.696,0.8854
1690248600000,195.902,371.119,0.5279
1690248900000,298.386,165.851,1.7991
1690249200000,149.889,232.525,0.6446
1690249500000,294.466,66.575,4.4231
1690249800000,164.388,188.722,0.8711
1690250100000,152.379,129.292,1.1786
1690250400000,211.449,210.799,1.0031
1690250700000,315.905,193.053,1.6364
1690251000000,152.734,160.851,0.9495
1690251300000,496.143,137.022,3.6209
1690251600000,274.846,133.317,2.0616
1690251900000,357.166,118.458,3.0151
1690252200000,797.225,293.349,2.7177
1690252500000,695.613,570.498,1.2193
1690252800000,317.189,311.129,1.0195
1690253100000,332.983,268.58,1.2398
1690253400000,102.066,280.26,0.3642
1690253700000,269.581,212.896,1.2663
1690254000000,391.811,470.841,0.8322
1690254300000,150.51,135.6,1.11
1690254600000,166.263,210.23,0.7909
1690254900000,102.361,108.474,0.9436
1690255200000,143.83,279.336,0.5149
1690255500000,258.988,689.43,0.3757
1690255800000,226.98,233.791,0.9709
